"Date","year","month","Local.Site.Name","County","meanlatitude","meanlongitude","PM2.5","Ozone"
2024-01-27,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,27,NA
2024-01-27,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,44,NA
2024-01-28,2024,1,"Bryson City","Swain",35.434767,-83.442133,0,NA
2024-01-28,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,15,NA
2024-01-28,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,8,NA
2024-01-28,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,30,NA
2024-01-28,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,0,NA
2024-01-28,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,8.5,23
2024-01-28,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,5.5,NA
2024-01-28,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,14,NA
2024-01-28,2024,1,"Linville Falls","Avery",35.972347,-81.933072,2,NA
2024-01-28,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,8,NA
2024-01-28,2024,1,"Millbrook School","Wake",35.856111,-78.574167,16,24
2024-01-28,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16,NA
2024-01-28,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,8,NA
