"CAS Number","Chemical Name","Species Common Name","Effect","Effect Measurement","Endpoint","Year","Records","Citation"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Population","Weight","LOEL","2021","2","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Population","Weight","NOEL","2021","2","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Reproduction","Progeny counts/numbers","LOEL","2021","1","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Reproduction","Reproducing organisms","LOEL","2021","1","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Reproduction","Reproducing organisms","NOEL","2021","1","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff-tailed Bumblebee","Mortality","Mortality","LD50","2020","4","Reid,R.J., B.J. Troczka, L. Kor, E. Randall, M.S. Williamson, L.M. Field, R. Nauen, C. Bass, and T.G.E. Davies (2020). Assessing the Acute Toxicity of Insecticides to the Buff-Tailed Bumblebee (Bombus terrestris Audax). Pestic. Biochem. Physiol., 166, 8 p. doi:10.1016/j.pestbp.2020.104562. ECOREF#:184486"
"111988499","Thiacloprid","Cabbage Stem Flea Beetle","Mortality","Mortality","LC50","2019","10","Stara,J., and F. Kocourek (2019). Cabbage Stem Flea Beetle's (Psylliodes chrysocephala L.) Susceptibility to Pyrethroids and Tolerance to Thiacloprid in the Czech Republic. PLoS One, 14, (9), 12 p. doi:10.1371/journal.pone.0214702. ECOREF#:186705"
"111988499","Thiacloprid","Cabbage Stem Flea Beetle","Mortality","Mortality","NR","2019","4","Stara,J., and F. Kocourek (2019). Cabbage Stem Flea Beetle's (Psylliodes chrysocephala L.) Susceptibility to Pyrethroids and Tolerance to Thiacloprid in the Czech Republic. PLoS One, 14, (9), 12 p. doi:10.1371/journal.pone.0214702. ECOREF#:186705"
"111988499","Thiacloprid","Cabbage Stem Flea Beetle","Mortality","Mortality","NR-ZERO","2019","2","Stara,J., and F. Kocourek (2019). Cabbage Stem Flea Beetle's (Psylliodes chrysocephala L.) Susceptibility to Pyrethroids and Tolerance to Thiacloprid in the Czech Republic. PLoS One, 14, (9), 12 p. doi:10.1371/journal.pone.0214702. ECOREF#:186705"
"111988499","Thiacloprid","Cabbage Stem Flea Beetle","Population","Abundance","NOEL","2019","3","Stara,J., and F. Kocourek (2019). Cabbage Stem Flea Beetle's (Psylliodes chrysocephala L.) Susceptibility to Pyrethroids and Tolerance to Thiacloprid in the Czech Republic. PLoS One, 14, (9), 12 p. doi:10.1371/journal.pone.0214702. ECOREF#:186705"
"111988499","Thiacloprid","Carniolan Honey Bee","Biochemistry","Acetylcholine","NOEL","2016","2","Wessler,I., H.A. Gartner, R. Michel-Schmidt, C. Brochhausen, L. Schmitz, L. Anspach, B. Grunewald, and C.J. Kirkpatrick (2016). Honeybees Produce Millimolar Concentrations of Non-Neuronal Acetylcholine for Breeding: Possible Adverse Effects of Neonicotinoids. PLoS One, 11, (6), 18. doi:10.1371/journal.pone.0156886. ECOREF#:183584"
"111988499","Thiacloprid","Carniolan Honey Bee","Biochemistry","Multiple measurement terms entered","NR","2016","1","Wessler,I., H.A. Gartner, R. Michel-Schmidt, C. Brochhausen, L. Schmitz, L. Anspach, B. Grunewald, and C.J. Kirkpatrick (2016). Honeybees Produce Millimolar Concentrations of Non-Neuronal Acetylcholine for Breeding: Possible Adverse Effects of Neonicotinoids. PLoS One, 11, (6), 18. doi:10.1371/journal.pone.0156886. ECOREF#:183584"
"111988499","Thiacloprid","Carniolan Honey Bee","Cell(s)","Hemocyte","LOEL","2016","1","Brandt,A., A. Gorenflo, R. Siede, M. Meixner, and R. Buchler (2016). The Neonicotinoids Thiacloprid, Imidacloprid, and Clothianidin Affect the Immunocompetence of Honey Bees (Apis mellifera L.). J. Insect Physiol., 86, 40-47. doi:10.1016/j.jinsphys.2016.01.001. ECOREF#:173124"
"111988499","Thiacloprid","Carniolan Honey Bee","Development","Abnormal","NR","2016","1","Wessler,I., H.A. Gartner, R. Michel-Schmidt, C. Brochhausen, L. Schmitz, L. Anspach, B. Grunewald, and C.J. Kirkpatrick (2016). Honeybees Produce Millimolar Concentrations of Non-Neuronal Acetylcholine for Breeding: Possible Adverse Effects of Neonicotinoids. PLoS One, 11, (6), 18. doi:10.1371/journal.pone.0156886. ECOREF#:183584"
"111988499","Thiacloprid","Carniolan Honey Bee","Development","Slowed, Retarded, Delayed or Non-development","LOEL","2020","3","Siefert,P., R. Hota, V. Ramesh, and B. Grunewald (2020). Chronic Within-Hive Video Recordings Detect Altered Nursing Behaviour and Retarded Larval Development of Neonicotinoid Treated Honey Bees. Sci. Rep., 10, (1), 15. doi:10.1038/s41598-020-65425-y. ECOREF#:183667"
"111988499","Thiacloprid","Carniolan Honey Bee","Development","Slowed, Retarded, Delayed or Non-development","NOEL","2020","1","Siefert,P., R. Hota, V. Ramesh, and B. Grunewald (2020). Chronic Within-Hive Video Recordings Detect Altered Nursing Behaviour and Retarded Larval Development of Neonicotinoid Treated Honey Bees. Sci. Rep., 10, (1), 15. doi:10.1038/s41598-020-65425-y. ECOREF#:183667"
"111988499","Thiacloprid","Carniolan Honey Bee","Feeding behavior","Feeding behavior","LOEL","2020","36","Siefert,P., R. Hota, V. Ramesh, and B. Grunewald (2020). Chronic Within-Hive Video Recordings Detect Altered Nursing Behaviour and Retarded Larval Development of Neonicotinoid Treated Honey Bees. Sci. Rep., 10, (1), 15. doi:10.1038/s41598-020-65425-y. ECOREF#:183667"
"111988499","Thiacloprid","Carniolan Honey Bee","Feeding behavior","Feeding behavior","NOEL","2020","84","Siefert,P., R. Hota, V. Ramesh, and B. Grunewald (2020). Chronic Within-Hive Video Recordings Detect Altered Nursing Behaviour and Retarded Larval Development of Neonicotinoid Treated Honey Bees. Sci. Rep., 10, (1), 15. doi:10.1038/s41598-020-65425-y. ECOREF#:183667"
"111988499","Thiacloprid","Carniolan Honey Bee","Histology","Multiple measurement terms entered","NR","2016","1","Wessler,I., H.A. Gartner, R. Michel-Schmidt, C. Brochhausen, L. Schmitz, L. Anspach, B. Grunewald, and C.J. Kirkpatrick (2016). Honeybees Produce Millimolar Concentrations of Non-Neuronal Acetylcholine for Breeding: Possible Adverse Effects of Neonicotinoids. PLoS One, 11, (6), 18. doi:10.1371/journal.pone.0156886. ECOREF#:183584"
"111988499","Thiacloprid","Carniolan Honey Bee","Immunological","Encapsulation or Melanization Response","LOEL","2016","1","Brandt,A., A. Gorenflo, R. Siede, M. Meixner, and R. Buchler (2016). The Neonicotinoids Thiacloprid, Imidacloprid, and Clothianidin Affect the Immunocompetence of Honey Bees (Apis mellifera L.). J. Insect Physiol., 86, 40-47. doi:10.1016/j.jinsphys.2016.01.001. ECOREF#:173124"
"111988499","Thiacloprid","Carniolan Honey Bee","Immunological","Infected","LOEL","2016","1","Brandt,A., A. Gorenflo, R. Siede, M. Meixner, and R. Buchler (2016). The Neonicotinoids Thiacloprid, Imidacloprid, and Clothianidin Affect the Immunocompetence of Honey Bees (Apis mellifera L.). J. Insect Physiol., 86, 40-47. doi:10.1016/j.jinsphys.2016.01.001. ECOREF#:173124"
